"Gene_Symbol","ENTREZ_GENE_ID","FoldChanges"
"ACSM1",116285,1.072583594
"ACSM2A",123876,1.055592741
"ACSM2B",348158,1.080005936
"ACSM3",6296,0.958053952
"ACSM5",54988,1.089083472
"ACSS1",84532,0.977352024
"ACSS2",55902,0.769701838
"ACSS3",79611,1.167463635
"ACTA1",58,1.093580454
"ACTA2",59,1.094288476
"ACTB",60,0.382500305
"ACTBL3",440915,0.750295351
"ACTC1",70,0.848839307
"ACTG1",71,0.38197654
"ACTG2",72,1.015131658
"ACTL6A",86,0.962512447
"ACTL6B",51412,0.678417024
"ACTL7A",10881,1.121758838
"ACTL7B",10880,1.019120231
"ACTL8",81569,0.938044305
"ACTN1",87,1.030257782
"ACTN2",88,0.832990546
"ACTN3",89,1.041856329
"ACTN4",81,1.279718007
"ACTR10",55860,0.463426581
"ACTR1A",10121,0.414149598
"ACTR1B",10120,0.527910334
"ACTR2",10097,1.252289357
"ACTR3",10096,0.820994329
"ACTR3B",57180,0.812988549
"ACTR3B",100133409,0.812988549
"ACTR5",79913,0.899499281
"ACTR6",64431,0.798207259
"ACTR8",93973,0.729964676
"ACTRT2",140625,1.079637701
"ACVR1",90,0.572315467
"ACVR1B",91,1.171121113
"ACVR1C",130399,0.490580766
"ACVR2A",92,0.724082836
"ACVR2B",93,0.959081225
"ACVRL1",94,1.053992297
"ACY1",95,1.132486125
"ACY3",91703,0.935368258
"ACYP1",97,0.56837408
"ACYP2",98,0.401632441
"ADA",100,1.021476405
"ADAD1",132612,1.023082014
"ADAD2",161931,0.852523306
"ADAL",161823,1.106990657
"ADAM10",102,0.972724958
"ADAM11",4185,1.108962212
"ADAM12",8038,0.985615899
"ADAM15",8751,1.031635514
"ADAM17",6868,0.867506747
"ADAM18",8749,0.99485083
"ADAM19",8728,0.912643509
"ADAM2",2515,1.011666244
"ADAM20",8748,1.059841677
"ADAM21",8747,0.956620149
"ADAM21",145241,0.956620149
"ADAM21P",8747,0.975881892
"ADAM22",53616,1.107458023
"ADAM23",8745,0.786821124
"ADAM28",10863,0.999000411
"ADAM29",11086,1.029861849
"ADAM30",11085,1.061668577
"ADAM32",203102,0.951871971
"ADAM33",80332,1.699633358
"ADAM3A",1587,1.022984214
"ADAM5P",255926,1.068208523
"ADAM6",8755,1.037983578
"ADAM7",8756,0.941077465
"ADAM8",101,1.046500359
"ADAM9",8754,0.773024905
"ADAMDEC1",27299,0.937104988
"ADAMTS1",9510,0.752925356
"ADAMTS10",81794,1.127564802
"ADAMTS12",81792,1.039913566
"ADAMTS13",11093,1.053002907
"ADAMTS14",140766,1.060568515
"ADAMTS15",170689,1.15169761
"ADAMTS16",170690,0.727368729
"ADAMTS17",170691,1.096557706
"ADAMTS18",170692,1.082674808
"ADAMTS19",171019,0.945466501
"ADAMTS2",9509,1.227243733
"ADAMTS20",80070,0.952447795
"ADAMTS3",9508,0.699571633
"ADAMTS4",9507,1.236695229
"ADAMTS5",11096,1.009185764
"ADAMTS6",11174,0.942931432
"ADAMTS7",11173,1.039701985
"ADAMTS8",11095,1.065388567
"ADAMTS9",56999,1.031671004
"ADAMTSL1",92949,1.012650019
"ADAMTSL2",9719,1.054419814
"ADAMTSL3",57188,1.049775987
"ADAMTSL4",54507,1.112618656
"ADAMTSL5",339366,1.015775645
"ADAP1",11033,0.836040046
"ADAP2",55803,1.047623702
"ADAR",103,0.735197023
"ADARB1",104,0.856545437
"ADARB2",105,1.139946722
"ADAT1",23536,0.903839941
"ADAT2",134637,0.7370996
"ADAT3",113179,1.122476001
"ADC",113451,1.14277569
"ADCK1",57143,0.9281853
"ADCK2",90956,0.901383421
"ADCK4",79934,1.052116844
"ADCK5",203054,1.043541268
"ADCY1",107,1.091325587
"ADCY10",55811,1.048179589
"ADCY2",108,1.360963515
"ADCY2",100133953,1.360963515
"ADCY3",109,0.673728224
"ADCY4",196883,1.218683512
"ADCY5",111,1.072739388
"ADCY6",112,0.832495322
"ADCY7",113,0.986344374
"ADCY8",100134077,0.542677167
"ADCY9",115,0.972371357
"ADCYAP1",116,0.761012682
"ADCYAP1R1",117,0.74341873
"ADD1",118,1.204504822
"ADD2",119,0.94372166
"ADD3",120,1.209355537
"ADFP",123,0.950496202
"ADH1A",124,1.107550926
"ADH1B",125,0.971346138
"ADH1C",126,1.059944846
"ADH4",127,1.046928077
"ADH5",128,0.735990693
"ADH6",130,0.947431724
"ADH7",131,0.967304202
"ADHFE1",137872,0.672750613
"ADI1",55256,0.917659516
"ADIG",149685,0.980964176
"ADIPOQ",9370,1.030390957
"ADIPOR1",51094,0.463822788
"ADIPOR2",79602,0.703029114
"ADK",132,0.730276027
"ADM",133,1.00493466
"ADM2",79924,1.003437784
"ADNP",23394,0.691848086
"ADNP2",22850,0.860864669
"ADO",84890,0.885616198
"ADORA1",134,0.857673611
"ADORA2A",135,1.184504262
"ADORA2B",136,0.850265499
"ADORA3",140,1.085113036
"ADPGK",83440,0.975796272
"ADPRH",141,1.03787667
"ADPRHL1",113622,1.173744013
"ADPRHL2",54936,0.849266847
"ADRA1A",148,0.97366047
"ADRA1B",147,1.007979817
"ADRA1D",146,1.05214449
"ADRA2A",150,0.628845542
"ADRA2B",151,0.90968596
"ADRA2C",152,1.348828417
"ADRB1",153,1.195580392
"ADRB2",154,1.000648634
"ADRB3",155,1.11518272
"ADRBK1",156,1.170786021
"ADRBK2",157,2.233434111
"ADRM1",11047,0.96445819
"ADSL",158,0.404673859
"ADSS",159,0.760117852
"ADSSL1",122622,0.908859128
"AEBP1",165,1.150012168
"AEBP2",121536,1.184792792
"AEN",64782,1.114642495
"AES",166,1.109249853
"AFAP1",60312,1.071127149
"AFAP1L1",134265,1.062686967
"AFAP1L2",84632,1.083799501
"AFF1",4299,1.173334029
"AFF2",2334,0.947941626
"AFF3",3899,0.951256646
"AFF4",27125,1.184956794
"AFG3L1",172,0.969653006
"AFG3L2",10939,0.914306343
"AFM",173,0.954885896
"AFMID",125061,0.938788005
"AFP",174,0.961161825
"AFTPH",54812,0.774897291
"AGA",175,0.764863065
"AGAP1",116987,1.315253633
"AGAP11",119016,1.024607923
"AGAP11",119385,1.024607923
"AGAP2",116986,0.867225463
"AGAP3",116988,0.838265231
"AGAP5",119016,1.028389037
"AGAP5",729092,1.028389037
"AGAP6",119385,0.900678939
"AGAP7",414189,0.900678939
"AGAP8",653268,0.900678939
"AGAP9",399753,1.028574335
"AGBL1",123624,1.019710665
"AGBL2",79841,0.894321538
"AGBL3",340351,0.956955852
"AGBL4",84871,1.059975486
"AGBL5",60509,0.781044699
"AGER",177,1.096741463
"AGFG1",3267,1.249002793
"AGFG2",3268,0.982831921
"AGGF1",55109,0.824923183
"AGK",55750,0.678177933
"AGL",178,0.529679602
"AGMAT",79814,0.940706419
"AGPAT1",10554,0.54391973
"AGPAT2",10555,1.211641648
"AGPAT3",56894,1.092636442
"AGPAT4",56895,0.707654536
"AGPAT5",55326,0.865293494
"AGPAT6",137964,0.801803849
"AGPAT9",84803,0.970190058
"AGPS",8540,0.738985481
"AGR2",10551,1.023859268
"AGR3",155465,0.982232961
"AGRN",375790,1.046121885
"AGRP",181,1.220570457
"AGT",183,0.586051371
"AGTPBP1",23287,0.735859576
"AGTR1",185,1.0080785
"AGTR2",186,0.93460394
"AGTRAP",57085,1.046671215
"AGXT",189,0.981914405
"AGXT2",64902,1.218824755
"AGXT2L1",64850,0.432237809
"AGXT2L2",85007,1.613239991
"AHCTF1",25909,1.155744373
"AHCY",191,0.438917184
"AHCYL1",10768,0.969013928
"AHCYL2",23382,1.046129021
"AHDC1",27245,1.338386802
"AHI1",54806,1.232612627
"AHNAK",79026,1.023322468
"AHNAK2",113146,0.98233738
"AHR",196,1.215260191
"AHRR",10016,0.61532934
"AHSA1",10598,0.381211001
"AHSA2",130872,1.233237028
"AHSG",197,1.081752229
"AHSG",100131613,1.081752229
"AICDA",57379,0.990489339
"AIDA",64853,0.806808745
"AIF1",199,0.99691756
"AIF1L",83543,0.997261266
"AIFM1",9131,0.65552949
"AIFM2",84883,0.973163798
"AIFM3",150209,0.864855305
"AIG1",51390,0.896286112
"AIM1",202,0.8362121
"AIM1L",55057,0.984731425
"AIM2",9447,1.335293201
"AIP",9049,0.763785541
"AIPL1",23746,0.927278255
"AIRE",326,1.05669546
"AJAP1",55966,1.864102502
"AK1",203,0.724522064
"AK2",204,0.930403989
"AK3",50808,1.186275021
"AK3L1",205,1.266977617
"AK3L2",645619,1.266977617
"AK5",26289,0.607484357
"AK7",122481,1.071499535
"AKAP1",8165,0.983164197
"AKAP10",11216,1.355883542
"AKAP11",11215,0.766343045
"AKAP12",9590,0.82051474
"AKAP13",11214,1.653288065
"AKAP14",158798,0.983031796
"AKAP2",11217,0.834159584
"AKAP3",10566,0.995634321
"AKAP4",8852,1.003339329
"AKAP5",9495,1.122463445
"AKAP6",9472,0.972023346
"AKAP7",9465,0.884969741
"AKAP8",10270,0.801045678
"AKAP8L",26993,1.069518709
"AKAP9",10142,0.889219368
"AKIRIN1",79647,0.901706566
"AKIRIN2",55122,0.697889444
"AKNA",80709,1.190758981
"AKR1A1",10327,0.772744546
"AKR1B1",231,0.442988275
"AKR1B10",57016,0.971270901
"AKR1C1",1645,0.782674585
"AKR1C2",1646,0.82353203
"AKR1C3",8644,0.607461587
"AKR1C4",1109,0.978466564
"AKR1CL2",83592,1.169124362
"AKR1D1",6718,0.973993891
"AKR7A2",8574,0.813833784
"AKR7A3",22977,1.19378527
"AKT1",207,0.979126719
"AKT1S1",84335,1.033144187
"AKT2",208,1.096592573
"AKT3",10000,1.272935517
"AKTIP",64400,0.553523825
"ALAD",210,0.957799042
"ALAS1",211,0.423494356
"ALAS2",212,1.099775506
"ALB",213,0.930271829
"ALCAM",214,1.224002389
"ALDH16A1",126133,1.204837103
"ALDH18A1",5832,0.802029701
"ALDH1A1",216,0.581138901
"ALDH1A2",8854,0.831100392
"ALDH1A3",220,0.983457863
"ALDH1B1",219,0.955993662
"ALDH1L1",10840,0.93259084
"ALDH1L2",160428,1.087161949
"ALDH2",217,0.707804673
"ALDH3A1",218,1.18271261
"ALDH3A2",224,0.70238177
"ALDH3B1",221,1.183199591
"ALDH3B2",222,0.933039131
"ALDH4A1",8659,1.062836813
"ALDH5A1",7915,1.029782631
"ALDH6A1",4329,0.905403893
"ALDH7A1",501,0.709398375
